REGION,DIVISION,STATE,NAME,ORIGIN,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
4,9,53,Washington,0,5894281,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540,6744496
4,9,53,Washington,1,5452770,5463559,5512082,5553278,5579951,5625498,5674041,5751955,5808908,5871854,5937616,5968750,5983005
4,9,53,Washington,2,441511,446953,473640,499071,524164,553147,583264,618798,652679,690377,729810,755790,761491
3,5,54,West Virginia,0,1808193,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1852994,1853973
3,5,54,West Virginia,1,1795920,1794674,1788334,1791376,1797129,1800237,1802919,1808884,1813906,1819095,1825731,1830726,1831363
3,5,54,West Virginia,2,12273,12347,13147,14038,15166,16201,17573,19028,20146,21215,22044,22268,22610
2,3,55,Wisconsin,0,5363757,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5686986,5691047
2,3,55,Wisconsin,1,5170835,5178628,5197064,5221166,5241738,5263029,5280645,5296994,5314525,5330080,5343585,5350930,5352828
2,3,55,Wisconsin,2,192922,195371,209771,223996,237465,250997,265521,280661,296250,310916,325679,336056,338219
4,8,56,Wyoming,0,493786,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,563626,564460
4,8,56,Wyoming,1,462116,462301,461701,465763,468029,472105,475579,482234,491854,500094,511082,513395,513769
4,8,56,Wyoming,2,31670,31999,32956,34254,35424,37001,38578,40433,43022,45949,48769,50231,50691
